================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
H: A man is beating his friend in a snowboarding race .
label=0, predicted=0, correct
f=unigram_person, v=1, w=0.32290623554978604, v*w=0.32290623554978604
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_a_person, v=1, w=0.26806657095918407, v*w=0.26806657095918407
f=unigram_trick, v=1, w=0.25029542390262427, v*w=0.25029542390262427
f=unigram_snowboarding, v=2, w=0.09766164829008182, v*w=0.19532329658016365
f=bigram_a_man, v=1, w=0.16304572728321168, v*w=0.16304572728321168
f=bigram_performing_a, v=1, w=0.1571209349519739, v*w=0.1571209349519739
f=unigram_man, v=1, w=0.09125296665009319, v*w=0.09125296665009319
f=bigram_in_a, v=1, w=0.05844301263471668, v*w=0.05844301263471668
f=bigram_man_is, v=1, w=0.05138160861639206, v*w=0.05138160861639206
f=unigram_mountain, v=1, w=0.033666688186087236, v*w=0.033666688186087236
f=bigram_a_snowboarding, v=2, w=0.013012325966357067, v*w=0.026024651932714134
f=bigram_mountain_., v=1, w=0.016828599896513724, v*w=0.016828599896513724
f=unigram_beating, v=1, w=0.003520983553293824, v*w=0.003520983553293824
f=bigram_friend_in, v=1, w=0.0013175316412238893, v*w=0.0013175316412238893
f=bigram_snowboarding_race, v=1, w=0, v*w=0
f=bigram_beating_his, v=1, w=0, v*w=0
f=bigram_snowboarding_trick, v=1, w=0, v*w=0
f=bigram_high_mountain, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=1, w=-3.6941557408380274e-06, v*w=-3.6941557408380274e-06
f=unigram_on, v=1, w=-0.0029334140976355447, v*w=-0.0029334140976355447
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_trick_on, v=1, w=-0.0215863335634192, v*w=-0.0215863335634192
f=bigram_a_high, v=1, w=-0.022228998920828177, v*w=-0.022228998920828177
f=bigram_person_performing, v=1, w=-0.04480051827294291, v*w=-0.04480051827294291
f=bigram_is_beating, v=1, w=-0.05930056584314567, v*w=-0.05930056584314567
f=unigram_performing, v=1, w=-0.0782900376899577, v*w=-0.0782900376899577
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=bigram_his_friend, v=1, w=-0.12654715170839434, v*w=-0.12654715170839434
f=bigram_race_., v=1, w=-0.1659205400530106, v*w=-0.1659205400530106
f=unigram_race, v=1, w=-0.18238305687974732, v*w=-0.18238305687974732
f=unigram_high, v=1, w=-0.3169368616057624, v*w=-0.3169368616057624
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
f=unigram_friend, v=1, w=-0.49645514217478803, v*w=-0.49645514217478803
================================================================================
P: A biker wearing a white t-shirt is jumping over dirt hills .
H: A person jumps over hills with his bike .
label=1, predicted=1, correct
f=unigram_person, v=1, w=0.32290623554978604, v*w=0.32290623554978604
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_a_person, v=1, w=0.26806657095918407, v*w=0.26806657095918407
f=unigram_jumps, v=1, w=0.22773692108830587, v*w=0.22773692108830587
f=bigram_bike_., v=1, w=0.20238929461028093, v*w=0.20238929461028093
f=bigram_jumping_over, v=1, w=0.19158771339212297, v*w=0.19158771339212297
f=unigram_jumping, v=1, w=0.1507565307491519, v*w=0.1507565307491519
f=bigram_wearing_a, v=1, w=0.13123149389916114, v*w=0.13123149389916114
f=unigram_white, v=1, w=0.10680748882731173, v*w=0.10680748882731173
f=bigram_jumps_over, v=1, w=0.09200881298146872, v*w=0.09200881298146872
f=bigram_t-shirt_is, v=1, w=0.0903075151656067, v*w=0.0903075151656067
f=unigram_hills, v=2, w=0.04176012606915969, v*w=0.08352025213831939
f=unigram_dirt, v=1, w=0.08047350536787583, v*w=0.08047350536787583
f=bigram_hills_., v=1, w=0.060113982047814964, v*w=0.060113982047814964
f=unigram_bike, v=1, w=0.04308693206044616, v*w=0.04308693206044616
f=bigram_is_jumping, v=1, w=0.006208685265945681, v*w=0.006208685265945681
f=bigram_biker_wearing, v=1, w=0, v*w=0
f=bigram_dirt_hills, v=1, w=0, v*w=0
f=bigram_hills_with, v=1, w=0, v*w=0
f=bigram_over_hills, v=1, w=0, v*w=0
f=bigram_over_dirt, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=unigram_with, v=1, w=-0.017849579505314447, v*w=-0.017849579505314447
f=bigram_person_jumps, v=1, w=-0.027722644868785597, v*w=-0.027722644868785597
f=unigram_wearing, v=1, w=-0.05100125722308318, v*w=-0.05100125722308318
f=bigram_his_bike, v=1, w=-0.058966097873648676, v*w=-0.058966097873648676
f=bigram_with_his, v=1, w=-0.10189658112249989, v*w=-0.10189658112249989
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=bigram_white_t-shirt, v=1, w=-0.15249234573179993, v*w=-0.15249234573179993
f=unigram_t-shirt, v=1, w=-0.1816603506816038, v*w=-0.1816603506816038
f=bigram_a_biker, v=1, w=-0.19963554710040304, v*w=-0.19963554710040304
f=bigram_a_white, v=1, w=-0.2178176195845976, v*w=-0.2178176195845976
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
f=unigram_biker, v=1, w=-0.4008017090910166, v*w=-0.4008017090910166
f=unigram_over, v=2, w=-0.21929055382537374, v*w=-0.4385811076507475
================================================================================
P: A float depicting religious imagery .
H: A float with icons .
label=1, predicted=1, correct
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_imagery, v=1, w=0.05647640914071354, v*w=0.05647640914071354
f=bigram_imagery_., v=1, w=0.0186649328153671, v*w=0.0186649328153671
f=unigram_depicting, v=1, w=0.006588121707698933, v*w=0.006588121707698933
f=unigram_icons, v=1, w=0, v*w=0
f=bigram_icons_., v=1, w=0, v*w=0
f=bigram_depicting_religious, v=1, w=0, v*w=0
f=bigram_float_with, v=1, w=0, v*w=0
f=bigram_float_depicting, v=1, w=0, v*w=0
f=bigram_religious_imagery, v=1, w=0, v*w=0
f=bigram_with_icons, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=unigram_with, v=1, w=-0.017849579505314447, v*w=-0.017849579505314447
f=bigram_a_float, v=2, w=-0.015290727033569873, v*w=-0.030581454067139746
f=unigram_religious, v=1, w=-0.08061833326112086, v*w=-0.08061833326112086
f=unigram_float, v=2, w=-0.09011406485406348, v*w=-0.18022812970812696
================================================================================
P: A man in yellow , white , and blue bicycle clothing and helmet grimaces as he rides his bicycle .
H: A man is riding a bicycle .
label=1, predicted=1, correct
f=bigram_a_man, v=2, w=0.16304572728321168, v*w=0.32609145456642336
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_a_bicycle, v=1, w=0.3061450629815243, v*w=0.3061450629815243
f=unigram_clothing, v=1, w=0.28446008284780705, v*w=0.28446008284780705
f=bigram_rides_his, v=1, w=0.24508209477166318, v*w=0.24508209477166318
f=bigram_as_he, v=1, w=0.22362234021491068, v*w=0.22362234021491068
f=unigram_man, v=2, w=0.09125296665009319, v*w=0.18250593330018638
f=bigram_yellow_,, v=1, w=0.16193666626865216, v*w=0.16193666626865216
f=bigram_clothing_and, v=1, w=0.14162505491659647, v*w=0.14162505491659647
f=unigram_bicycle, v=3, w=0.04601103355361591, v*w=0.13803310066084773
f=bigram_,_and, v=1, w=0.11876708611131494, v*w=0.11876708611131494
f=unigram_white, v=1, w=0.10680748882731173, v*w=0.10680748882731173
f=unigram_yellow, v=1, w=0.09997060169943839, v*w=0.09997060169943839
f=bigram_bicycle_., v=2, w=0.049971807709044386, v*w=0.09994361541808877
f=bigram_is_riding, v=1, w=0.0849659006036271, v*w=0.0849659006036271
f=bigram_man_in, v=1, w=0.06080882426598919, v*w=0.06080882426598919
f=bigram_man_is, v=1, w=0.05138160861639206, v*w=0.05138160861639206
f=unigram_blue, v=1, w=0.04244902163888029, v*w=0.04244902163888029
f=unigram_rides, v=1, w=0.014986111499971061, v*w=0.014986111499971061
f=bigram_white_,, v=1, w=0.011223427828799301, v*w=0.011223427828799301
f=unigram_riding, v=1, w=0.004006962054494547, v*w=0.004006962054494547
f=unigram_as, v=1, w=0.0029848788575000825, v*w=0.0029848788575000825
f=unigram_grimaces, v=1, w=0, v*w=0
f=bigram_bicycle_clothing, v=1, w=0, v*w=0
f=bigram_helmet_grimaces, v=1, w=0, v*w=0
f=bigram_grimaces_as, v=1, w=0, v*w=0
f=bigram_blue_bicycle, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=bigram_and_blue, v=1, w=-0.004282279600352618, v*w=-0.004282279600352618
f=unigram_,, v=2, w=-0.0210107357906898, v*w=-0.0420214715813796
f=unigram_helmet, v=1, w=-0.042682616900726805, v*w=-0.042682616900726805
f=bigram_riding_a, v=1, w=-0.07230213547555203, v*w=-0.07230213547555203
f=bigram_,_white, v=1, w=-0.07922882495481944, v*w=-0.07922882495481944
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_he_rides, v=1, w=-0.10628749217664067, v*w=-0.10628749217664067
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=bigram_and_helmet, v=1, w=-0.1379854988629162, v*w=-0.1379854988629162
f=unigram_and, v=2, w=-0.0751160091009072, v*w=-0.1502320182018144
f=bigram_in_yellow, v=1, w=-0.17572261997572036, v*w=-0.17572261997572036
f=bigram_his_bicycle, v=1, w=-0.23541400558232775, v*w=-0.23541400558232775
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
f=unigram_he, v=1, w=-0.41672833617918115, v*w=-0.41672833617918115
================================================================================
P: A group of girls ride an ATV .
H: Girls ride ATVs .
label=1, predicted=1, correct
f=unigram_ride, v=2, w=0.18634173169772533, v*w=0.37268346339545066
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_group, v=1, w=0.16301494349359533, v*w=0.16301494349359533
f=bigram_of_girls, v=1, w=0.15641001441722388, v*w=0.15641001441722388
f=bigram_a_group, v=1, w=0.11136202503331728, v*w=0.11136202503331728
f=bigram_an_atv, v=1, w=0.07991666165890973, v*w=0.07991666165890973
f=unigram_girls, v=1, w=0.07342153481640559, v*w=0.07342153481640559
f=unigram_atv, v=1, w=0.05069951665404782, v*w=0.05069951665404782
f=bigram_girls_ride, v=1, w=0.0476816747161724, v*w=0.0476816747161724
f=unigram_atvs, v=1, w=0, v*w=0
f=bigram_atvs_., v=1, w=0, v*w=0
f=bigram_atv_., v=1, w=0, v*w=0
f=bigram_ride_an, v=1, w=0, v*w=0
f=bigram_ride_atvs, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_an, v=1, w=-0.1150717082369504, v*w=-0.1150717082369504
f=bigram_group_of, v=1, w=-0.2512900503993891, v*w=-0.2512900503993891
================================================================================
P: A schoolgirl wearing a white dress , blue-striped knee socks , a blue tie , and braids , smiles in front of a line of her classmates .
H: A line of schoolchildren preparing to board a bus after their field trip .
label=0, predicted=0, correct
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_smiles, v=1, w=0.2925835087180815, v*w=0.2925835087180815
f=unigram_line, v=2, w=0.13068809345094096, v*w=0.2613761869018819
f=bigram_front_of, v=1, w=0.1703695835980046, v*w=0.1703695835980046
f=bigram_a_line, v=1, w=0.15414543773177658, v*w=0.15414543773177658
f=bigram_in_front, v=1, w=0.14264428437832066, v*w=0.14264428437832066
f=bigram_wearing_a, v=1, w=0.13123149389916114, v*w=0.13123149389916114
f=bigram_,_and, v=1, w=0.11876708611131494, v*w=0.11876708611131494
f=unigram_white, v=1, w=0.10680748882731173, v*w=0.10680748882731173
f=unigram_knee, v=1, w=0.09660406264546198, v*w=0.09660406264546198
f=bigram_her_classmates, v=1, w=0.08350951130486325, v*w=0.08350951130486325
f=bigram_,_smiles, v=1, w=0.06556436949213419, v*w=0.06556436949213419
f=unigram_dress, v=1, w=0.049653043020125534, v*w=0.049653043020125534
f=unigram_blue, v=1, w=0.04244902163888029, v*w=0.04244902163888029
f=unigram_classmates, v=1, w=0.029229964314042713, v*w=0.029229964314042713
f=bigram_board_a, v=1, w=0.02799601871721714, v*w=0.02799601871721714
f=bigram_a_blue, v=1, w=0.02109812877656581, v*w=0.02109812877656581
f=bigram_of_a, v=1, w=0.0193813254754124, v*w=0.0193813254754124
f=bigram_to_board, v=1, w=0.014004035473743105, v*w=0.014004035473743105
f=bigram_dress_,, v=1, w=0.009868350600817562, v*w=0.009868350600817562
f=unigram_schoolchildren, v=1, w=0, v*w=0
f=unigram_braids, v=1, w=0, v*w=0
f=unigram_blue-striped, v=1, w=0, v*w=0
f=bigram_their_field, v=1, w=0, v*w=0
f=bigram_blue-striped_knee, v=1, w=0, v*w=0
f=bigram_braids_,, v=1, w=0, v*w=0
f=bigram_and_braids, v=1, w=0, v*w=0
f=bigram_socks_,, v=1, w=0, v*w=0
f=bigram_of_schoolchildren, v=1, w=0, v*w=0
f=bigram_classmates_., v=1, w=0, v*w=0
f=bigram_,_blue-striped, v=1, w=0, v*w=0
f=bigram_blue_tie, v=1, w=0, v*w=0
f=bigram_schoolchildren_preparing, v=1, w=0, v*w=0
f=bigram_schoolgirl_wearing, v=1, w=0, v*w=0
f=bigram_knee_socks, v=1, w=0, v*w=0
f=bigram_a_schoolgirl, v=1, w=0, v*w=0
f=bigram_bus_after, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=4, w=-0.0024239052585922536, v*w=-0.009695621034369014
f=bigram_tie_,, v=1, w=-0.01630911649767746, v*w=-0.01630911649767746
f=bigram_after_their, v=1, w=-0.018956601482206323, v*w=-0.018956601482206323
f=bigram_a_bus, v=1, w=-0.019995921434105633, v*w=-0.019995921434105633
f=unigram_schoolgirl, v=1, w=-0.02387401189146535, v*w=-0.02387401189146535
f=unigram_tie, v=1, w=-0.029043998616024733, v*w=-0.029043998616024733
f=bigram_field_trip, v=1, w=-0.03366780030806136, v*w=-0.03366780030806136
f=bigram_smiles_in, v=1, w=-0.041528843184625124, v*w=-0.041528843184625124
f=unigram_wearing, v=1, w=-0.05100125722308318, v*w=-0.05100125722308318
f=unigram_and, v=1, w=-0.0751160091009072, v*w=-0.0751160091009072
f=unigram_socks, v=1, w=-0.08085608043622235, v*w=-0.08085608043622235
f=bigram_preparing_to, v=1, w=-0.08368576953274562, v*w=-0.08368576953274562
f=unigram_,, v=4, w=-0.0210107357906898, v*w=-0.0840429431627592
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_,_a, v=1, w=-0.08776572676612329, v*w=-0.08776572676612329
f=unigram_field, v=1, w=-0.09960848434711664, v*w=-0.09960848434711664
f=unigram_bus, v=1, w=-0.12025124810301042, v*w=-0.12025124810301042
f=bigram_of_her, v=1, w=-0.12204971620060287, v*w=-0.12204971620060287
f=unigram_preparing, v=1, w=-0.135246787824132, v*w=-0.135246787824132
f=unigram_their, v=1, w=-0.14326177856098374, v*w=-0.14326177856098374
f=bigram_white_dress, v=1, w=-0.14786696452888157, v*w=-0.14786696452888157
f=bigram_trip_., v=1, w=-0.15291421218959367, v*w=-0.15291421218959367
f=unigram_front, v=1, w=-0.15463392971701118, v*w=-0.15463392971701118
f=unigram_of, v=3, w=-0.05210813364358563, v*w=-0.1563244009307569
f=bigram_line_of, v=2, w=-0.08856868525744045, v*w=-0.1771373705148809
f=unigram_her, v=1, w=-0.21546840459580557, v*w=-0.21546840459580557
f=bigram_a_white, v=1, w=-0.2178176195845976, v*w=-0.2178176195845976
f=unigram_board, v=1, w=-0.22139253687064633, v*w=-0.22139253687064633
f=unigram_trip, v=1, w=-0.3219672308633679, v*w=-0.3219672308633679
f=unigram_to, v=1, w=-0.48944732742029523, v*w=-0.48944732742029523
f=unigram_after, v=1, w=-0.5469717774038814, v*w=-0.5469717774038814
================================================================================
P: A boy plays in the surf .
H: The boy is wearing red trunks .
label=0, predicted=1, wrong
f=bigram_is_wearing, v=1, w=0.4231410456509843, v*w=0.4231410456509843
f=bigram_wearing_red, v=1, w=0.3320891651302113, v*w=0.3320891651302113
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_boy, v=2, w=0.11284227381692724, v*w=0.22568454763385448
f=unigram_trunks, v=1, w=0.12774156856644187, v*w=0.12774156856644187
f=bigram_a_boy, v=1, w=0.11219288794581411, v*w=0.11219288794581411
f=bigram_boy_plays, v=1, w=0.08133848167738561, v*w=0.08133848167738561
f=bigram_red_trunks, v=1, w=0.07191036042906325, v*w=0.07191036042906325
f=bigram_surf_., v=1, w=0.0583680528498248, v*w=0.0583680528498248
f=unigram_surf, v=1, w=0.05696745822319843, v*w=0.05696745822319843
f=bigram_boy_is, v=1, w=0.05618904371243483, v*w=0.05618904371243483
f=bigram_trunks_., v=1, w=0.04489378219445723, v*w=0.04489378219445723
f=bigram_the_surf, v=1, w=0.03504634393666721, v*w=0.03504634393666721
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_red, v=1, w=-0.0409333055494941, v*w=-0.0409333055494941
f=unigram_wearing, v=1, w=-0.05100125722308318, v*w=-0.05100125722308318
f=bigram_the_boy, v=1, w=-0.06846909649764997, v*w=-0.06846909649764997
f=bigram_in_the, v=1, w=-0.07759903285762955, v*w=-0.07759903285762955
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=bigram_plays_in, v=1, w=-0.12019885317720971, v*w=-0.12019885317720971
f=unigram_plays, v=1, w=-0.14397192609547269, v*w=-0.14397192609547269
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
================================================================================
P: A man is sitting outside next to fruit .
H: A man takes a break next to his freshly picked fruit .
label=0, predicted=0, correct
f=bigram_next_to, v=2, w=0.27176871974387284, v*w=0.5435374394877457
f=bigram_is_sitting, v=1, w=0.48200488009099296, v*w=0.48200488009099296
f=bigram_a_man, v=2, w=0.16304572728321168, v*w=0.32609145456642336
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_next, v=2, w=0.11387993184802085, v*w=0.2277598636960417
f=unigram_outside, v=1, w=0.19064031592173877, v*w=0.19064031592173877
f=unigram_man, v=2, w=0.09125296665009319, v*w=0.18250593330018638
f=unigram_sitting, v=1, w=0.15861525698681056, v*w=0.15861525698681056
f=bigram_a_break, v=1, w=0.0826621482418494, v*w=0.0826621482418494
f=bigram_man_is, v=1, w=0.05138160861639206, v*w=0.05138160861639206
f=unigram_picked, v=1, w=0.05093767725638706, v*w=0.05093767725638706
f=unigram_freshly, v=1, w=0.04709578236825149, v*w=0.04709578236825149
f=bigram_break_next, v=1, w=0, v*w=0
f=bigram_picked_fruit, v=1, w=0, v*w=0
f=bigram_freshly_picked, v=1, w=0, v*w=0
f=bigram_his_freshly, v=1, w=0, v*w=0
f=bigram_to_fruit, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_to_his, v=1, w=-0.018183453706114766, v*w=-0.018183453706114766
f=bigram_outside_next, v=1, w=-0.05813453660974468, v*w=-0.05813453660974468
f=unigram_takes, v=1, w=-0.059763037991965764, v*w=-0.059763037991965764
f=bigram_man_takes, v=1, w=-0.06561970512657564, v*w=-0.06561970512657564
f=bigram_sitting_outside, v=1, w=-0.09775988902463419, v*w=-0.09775988902463419
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=unigram_break, v=1, w=-0.11495789999921231, v*w=-0.11495789999921231
f=bigram_fruit_., v=2, w=-0.09348147465099992, v*w=-0.18696294930199983
f=bigram_takes_a, v=1, w=-0.20603401430160867, v*w=-0.20603401430160867
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
f=unigram_fruit, v=2, w=-0.19401557875082726, v*w=-0.3880311575016545
f=unigram_to, v=2, w=-0.48944732742029523, v*w=-0.9788946548405905
================================================================================
P: A person on a brown horse in a prairie in front of tall mountains .
H: The horseback rider is traveling from one ranch to another
label=0, predicted=0, correct
f=bigram_person_on, v=1, w=0.5594955023443777, v*w=0.5594955023443777
f=unigram_person, v=1, w=0.32290623554978604, v*w=0.32290623554978604
f=bigram_a_person, v=1, w=0.26806657095918407, v*w=0.26806657095918407
f=unigram_horse, v=1, w=0.22459339646906312, v*w=0.22459339646906312
f=bigram_front_of, v=1, w=0.1703695835980046, v*w=0.1703695835980046
f=unigram_horseback, v=1, w=0.1632468153368141, v*w=0.1632468153368141
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=bigram_in_front, v=1, w=0.14264428437832066, v*w=0.14264428437832066
f=bigram_mountains_., v=1, w=0.09439053595192343, v*w=0.09439053595192343
f=bigram_in_a, v=1, w=0.05844301263471668, v*w=0.05844301263471668
f=unigram_one, v=1, w=0.043556720669348556, v*w=0.043556720669348556
f=bigram_of_tall, v=1, w=0.03211332269526598, v*w=0.03211332269526598
f=unigram_rider, v=1, w=0.0024083723466319764, v*w=0.0024083723466319764
f=unigram_prairie, v=1, w=0, v*w=0
f=bigram_the_horseback, v=1, w=0, v*w=0
f=bigram_one_ranch, v=1, w=0, v*w=0
f=bigram_is_traveling, v=1, w=0, v*w=0
f=bigram_tall_mountains, v=1, w=0, v*w=0
f=bigram_traveling_from, v=1, w=0, v*w=0
f=bigram_a_prairie, v=1, w=0, v*w=0
f=bigram_horseback_rider, v=1, w=0, v*w=0
f=bigram_ranch_to, v=1, w=0, v*w=0
f=bigram_prairie_in, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=1, w=-3.6941557408380274e-06, v*w=-3.6941557408380274e-06
f=unigram_brown, v=1, w=-0.001446645130657947, v*w=-0.001446645130657947
f=unigram_on, v=1, w=-0.0029334140976355447, v*w=-0.0029334140976355447
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=unigram_another, v=1, w=-0.007446064485696518, v*w=-0.007446064485696518
f=bigram_horse_in, v=1, w=-0.024747397771340395, v*w=-0.024747397771340395
f=unigram_mountains, v=1, w=-0.02601640738196397, v*w=-0.02601640738196397
f=unigram_ranch, v=1, w=-0.04224590147488005, v*w=-0.04224590147488005
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=bigram_from_one, v=1, w=-0.05955007474313031, v*w=-0.05955007474313031
f=bigram_rider_is, v=1, w=-0.07454032797433095, v*w=-0.07454032797433095
f=bigram_brown_horse, v=1, w=-0.08710302424982146, v*w=-0.08710302424982146
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=bigram_to_another, v=1, w=-0.12281827859997922, v*w=-0.12281827859997922
f=unigram_traveling, v=1, w=-0.1460272799611597, v*w=-0.1460272799611597
f=unigram_front, v=1, w=-0.15463392971701118, v*w=-0.15463392971701118
f=unigram_from, v=1, w=-0.16801892540366675, v*w=-0.16801892540366675
f=unigram_in, v=2, w=-0.08602513351516965, v*w=-0.1720502670303393
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=bigram_a_brown, v=1, w=-0.349837335647973, v*w=-0.349837335647973
f=unigram_to, v=1, w=-0.48944732742029523, v*w=-0.48944732742029523
f=unigram_tall, v=1, w=-0.974557870109025, v*w=-0.974557870109025
================================================================================
P: A brown dog leaps into water from a rock .
H: A dog is outside .
label=1, predicted=1, correct
f=bigram_is_outside, v=1, w=0.8942619138296027, v*w=0.8942619138296027
f=bigram_outside_., v=1, w=0.5540998568355167, v*w=0.5540998568355167
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_brown_dog, v=1, w=0.2932928442284732, v*w=0.2932928442284732
f=bigram_a_dog, v=1, w=0.21385106754588015, v*w=0.21385106754588015
f=unigram_outside, v=1, w=0.19064031592173877, v*w=0.19064031592173877
f=bigram_rock_., v=1, w=0.17180438853732954, v*w=0.17180438853732954
f=bigram_into_water, v=1, w=0.10038463886418117, v*w=0.10038463886418117
f=bigram_water_from, v=1, w=0.04439245045718264, v*w=0.04439245045718264
f=unigram_leaps, v=1, w=0.032194294976078675, v*w=0.032194294976078675
f=unigram_water, v=1, w=0.0110190220538336, v*w=0.0110190220538336
f=bigram_dog_is, v=1, w=0.010075715194524926, v*w=0.010075715194524926
f=bigram_leaps_into, v=1, w=0.0059251260140718055, v*w=0.0059251260140718055
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_brown, v=1, w=-0.001446645130657947, v*w=-0.001446645130657947
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_dog_leaps, v=1, w=-0.021721581292888033, v*w=-0.021721581292888033
f=unigram_rock, v=1, w=-0.04658042156771294, v*w=-0.04658042156771294
f=bigram_from_a, v=1, w=-0.05330866192437523, v*w=-0.05330866192437523
f=unigram_dog, v=2, w=-0.04926293074547648, v*w=-0.09852586149095297
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=unigram_into, v=1, w=-0.14565777871916058, v*w=-0.14565777871916058
f=unigram_from, v=1, w=-0.16801892540366675, v*w=-0.16801892540366675
f=bigram_a_rock, v=1, w=-0.19570943983751382, v*w=-0.19570943983751382
f=bigram_a_brown, v=1, w=-0.349837335647973, v*w=-0.349837335647973
================================================================================
P: A man wearing an apron is smiling at a plate of food .
H: The man is happy by the sight of the food before him .
label=1, predicted=0, wrong
f=bigram_by_the, v=1, w=0.3183125998281125, v*w=0.3183125998281125
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_of_food, v=1, w=0.19709497983603552, v*w=0.19709497983603552
f=unigram_man, v=2, w=0.09125296665009319, v*w=0.18250593330018638
f=bigram_a_man, v=1, w=0.16304572728321168, v*w=0.16304572728321168
f=unigram_smiling, v=1, w=0.15465132132814352, v*w=0.15465132132814352
f=bigram_food_., v=1, w=0.1414471004915105, v*w=0.1414471004915105
f=unigram_by, v=1, w=0.09026834019447456, v*w=0.09026834019447456
f=unigram_apron, v=1, w=0.0814075031026067, v*w=0.0814075031026067
f=bigram_of_the, v=1, w=0.07689738611852188, v*w=0.07689738611852188
